bin,jobnum,year,units,parktype,reqspaces,waivertype,waiverspaces
3420460,320528327,2014,7,required - high density,4,waiver - small num of spaces,0
3426904,320529530,2016,2,required - high density,1,waiver - small num of spaces,0
3426903,320529549,2015,2,required - high density,1,waiver - small num of spaces,0
3413435,320535284,2018,1,required - high density,1,waiver - small num of spaces,0
3413434,320535293,2018,1,required - high density,1,waiver - small num of spaces,0
3413433,320535382,2018,1,required - high density,1,waiver - small num of spaces,0
3425867,320535391,2018,1,required - high density,1,waiver - small num of spaces,0
3399069,320535435,2016,9,required - high density,5,waiver - small num of spaces,0
3398353,320537807,2015,8,required - high density,4,waiver - small num of spaces,0
3424060,320537843,2016,5,required - high density,3,waiver - small num of spaces,0
3421741,320540857,2017,4,required - high density,2,waiver - small num of spaces,0
3856318,320544229,2014,4,required - high density,2,waiver - small num of spaces,0
3418298,320544407,2015,3,required - high density,2,waiver - small num of spaces,0
3418299,320544513,2015,2,required - high density,1,waiver - small num of spaces,0
3106768,320545077,2014,6,required - high density,3,waiver - small num of spaces,0
3424213,320545362,2015,27,required - high density,14,waiver - small num of spaces,9
3413437,320547066,2018,1,required - high density,1,waiver - small num of spaces,0
3413436,320547155,2018,1,required - high density,1,waiver - small num of spaces,0
3173343,320550033,2018,6,required - low density,4,waiver - small num of spaces,3
3397849,320550186,2019,2,required - high density,1,waiver - small num of spaces,0
3397850,320550195,2019,2,required - high density,1,waiver - small num of spaces,0
3397851,320550202,2019,2,required - high density,1,waiver - small num of spaces,0
3397852,320550211,2019,2,required - high density,1,waiver - small num of spaces,0
3397853,320550220,2019,2,required - high density,1,waiver - small num of spaces,0
3424086,320550765,2014,6,required - high density,3,waiver - small num of spaces,0
3398294,320552102,2014,3,required - high density,2,waiver - small num of spaces,0
3423516,320552139,2014,3,required - high density,2,waiver - small num of spaces,0
3398293,320552148,2015,3,required - high density,2,waiver - small num of spaces,0
3420462,320560754,2015,14,required - high density,7,waiver - small num of spaces,2
3422362,320560772,2015,6,required - high density,3,waiver - small num of spaces,0
3181610,320561806,2015,12,required - high density,6,waiver - small num of spaces,1
3424496,320561897,2017,8,required - high density,4,waiver - small num of spaces,0
3418254,320570949,2014,188,required - high density,94,waiver - small num of spaces,89
3421797,320573991,2016,5,required - high density,2,waiver - small num of spaces,0
3338617,320575025,2016,10,required - high density,3,waiver - small num of spaces,0
3398973,320575891,2016,1,required - high density,1,waiver - small num of spaces,0
3398972,320575926,2017,1,required - high density,1,waiver - small num of spaces,0
3396741,320575980,2016,216,required - high density,108,waiver - small num of spaces,93
3424069,320576033,2016,8,required - high density,4,waiver - small num of spaces,0
3407071,320576220,2017,8,required - high density,4,waiver - small num of spaces,0
3424470,320576382,2016,586,required - high density,234,waiver - small num of spaces,219
3424149,320576426,2017,6,required - high density,3,waiver - small num of spaces,0
3425989,320576514,2018,4,required - high density,2,waiver - small num of spaces,0
3418333,320576523,2016,4,required - high density,2,waiver - small num of spaces,0
3413704,320576578,2015,8,required - high density,4,waiver - small num of spaces,0
3425694,320576587,2015,8,required - high density,4,waiver - small num of spaces,0
3407043,320576649,2016,6,required - high density,3,waiver - small num of spaces,0
3413516,320576658,2016,6,required - high density,3,waiver - small num of spaces,0
3418180,320576783,2015,52,required - high density,26,waiver - small num of spaces,11
3418179,320576792,2016,90,required - high density,45,waiver - small num of spaces,30
3421640,320576809,2016,84,required - high density,42,waiver - small num of spaces,27
3413699,320576818,2015,52,required - high density,26,waiver - small num of spaces,11
3424169,320576934,2016,8,required - high density,4,waiver - small num of spaces,0
3399794,320576961,2017,15,required - high density,5,waiver - small num of spaces,0
3425126,320576989,2016,95,required - high density,48,waiver - small num of spaces,43
3024096,320577096,2016,3,required - high density,2,waiver - small num of spaces,0
3049908,320577201,2017,7,required - high density,4,waiver - small num of spaces,0
3425103,320577354,2018,4,required - high density,2,waiver - small num of spaces,0
3835027,320577513,2019,2,required - high density,1,waiver - small num of spaces,0
3412986,320577522,2019,2,required - high density,1,waiver - small num of spaces,0
3412985,320577531,2020,1,required - high density,1,waiver - small num of spaces,0
3425405,320577559,2016,7,required - high density,4,waiver - small num of spaces,0
3412983,320577568,2020,1,required - high density,1,waiver - small num of spaces,0
3426497,320577611,2016,70,required - high density,28,waiver - small num of spaces,13
3425557,320577666,2016,7,required - high density,4,waiver - small num of spaces,0
3413087,320577693,2015,2,required - high density,1,waiver - small num of spaces,0
3413086,320577700,2015,2,required - high density,1,waiver - small num of spaces,0
3205068,320577719,2015,40,required - high density,20,waiver - small num of spaces,5
3412960,320577737,2016,3,required - high density,2,waiver - small num of spaces,0
3424459,320577746,2016,64,required - high density,32,waiver - small num of spaces,17
3425769,320577755,2017,4,required - high density,2,waiver - small num of spaces,0
3425621,320577862,2019,45,required - high density,23,waiver - small num of spaces,18
3421426,320579076,2017,4,required - high density,2,waiver - small num of spaces,0
3048335,320582482,2013,5,required - high density,3,waiver - small num of spaces,0
3399079,320583908,2015,4,required - high density,2,waiver - small num of spaces,0
3399073,320583962,2015,3,required - high density,2,waiver - small num of spaces,0
3399074,320583971,2015,3,required - high density,2,waiver - small num of spaces,0
3399075,320583980,2015,3,required - high density,2,waiver - small num of spaces,0
3399076,320583999,2015,3,required - high density,2,waiver - small num of spaces,0
3399077,320584006,2015,3,required - high density,2,waiver - small num of spaces,0
3399078,320584015,2015,3,required - high density,2,waiver - small num of spaces,0
3400384,320587156,2014,2,required - high density,1,waiver - small num of spaces,0
3422351,320587691,2015,3,required - high density,2,waiver - small num of spaces,0
3402813,320588333,2016,7,required - high density,4,waiver - small num of spaces,0
3427013,320588592,2020,10,required - high density,5,waiver - small num of spaces,0
3048064,320588618,2016,7,required - high density,4,waiver - small num of spaces,0
3418255,320588805,2015,47,required - high density,24,waiver - small num of spaces,19
3424713,320589877,2017,2,required - high density,1,waiver - small num of spaces,0
3397506,320589948,2015,3,required - high density,2,waiver - small num of spaces,0
3403527,320589957,2015,8,required - high density,4,waiver - small num of spaces,0
3403527,320590017,2015,8,required - high density,4,waiver - small num of spaces,0
3413694,320590026,2015,8,required - high density,4,waiver - small num of spaces,0
3413749,320590197,2016,3,required - low density,2,waiver - small num of spaces,1
3066072,320590277,2017,10,required - high density,5,waiver - small num of spaces,0
3413750,320590302,2016,3,required - low density,2,waiver - small num of spaces,1
3400722,320590311,2019,57,required - high density,29,waiver - small num of spaces,14
3418119,320590516,2015,18,required - high density,5,waiver - small num of spaces,0
3413686,320590543,2019,7,required - high density,4,waiver - small num of spaces,0
3413687,320590552,2019,7,required - high density,4,waiver - small num of spaces,0
3413732,320590623,2018,10,required - high density,5,waiver - small num of spaces,0
3068246,320590712,2016,44,required - high density,22,waiver - small num of spaces,17
3413543,320590776,2018,6,required - high density,3,waiver - small num of spaces,0
3425021,320590785,2015,25,required - high density,8,waiver - small num of spaces,0
3425036,320590829,2016,430,required - high density,215,waiver - small num of spaces,200
3398333,320590847,2017,6,required - high density,2,waiver - small num of spaces,0
3425080,320590909,2017,19,required - high density,10,waiver - small num of spaces,5
3426038,320590927,2015,2,required - high density,1,waiver - small num of spaces,0
3403059,320590936,2015,2,required - high density,1,waiver - small num of spaces,0
3403056,320590945,2015,2,required - high density,1,waiver - small num of spaces,0
3403058,320590954,2015,2,required - high density,1,waiver - small num of spaces,0
3414013,320590963,2016,7,required - high density,4,waiver - small num of spaces,0
3398366,320590972,2016,1,required - high density,1,waiver - small num of spaces,0
3398366,320590981,2018,1,required - high density,1,waiver - small num of spaces,0
3426290,320591007,2016,5,required - high density,3,waiver - small num of spaces,0
3407337,320591043,2015,8,required - high density,4,waiver - small num of spaces,0
3413994,320591089,2016,2,required - high density,1,waiver - small num of spaces,0
3405135,320591123,2015,4,required - high density,2,waiver - small num of spaces,0
3068515,320591178,2020,6,required - high density,3,waiver - small num of spaces,0
3413517,320591301,2017,8,required - high density,4,waiver - small num of spaces,0
3405287,320591472,2014,2,required - high density,1,waiver - small num of spaces,0
3413708,320591695,2016,118,required - high density,59,waiver - small num of spaces,54
3418184,320591739,2016,35,required - high density,11,waiver - small num of spaces,0
3107313,320591775,2016,40,required - high density,20,waiver - small num of spaces,15
3422383,320591793,2017,4,required - high density,2,waiver - small num of spaces,0
3422233,320591953,2016,5,required - high density,3,waiver - small num of spaces,0
3426471,320591962,2016,4,required - high density,2,waiver - small num of spaces,0
3410952,320591971,2016,4,required - high density,2,waiver - small num of spaces,0
3412984,320592088,2019,8,required - high density,4,waiver - small num of spaces,0
3413459,320592122,2016,3,required - high density,2,waiver - small num of spaces,0
3413143,320592131,2016,3,required - high density,2,waiver - small num of spaces,0
3413141,320592140,2016,3,required - high density,2,waiver - small num of spaces,0
3398512,320592159,2016,3,required - high density,2,waiver - small num of spaces,0
3413142,320592202,2016,3,required - high density,2,waiver - small num of spaces,0
3426092,320592211,2019,5,required - high density,3,waiver - small num of spaces,0
3426254,320592293,2016,7,required - high density,4,waiver - small num of spaces,0
3424445,320592328,2016,379,required - high density,152,waiver - small num of spaces,137
3426785,320592505,2017,3,required - high density,2,waiver - small num of spaces,0
3425177,320592523,2016,32,required - high density,22,waiver - small num of spaces,17
3413781,320592587,2019,142,required - high density,99,waiver - small num of spaces,94
3424427,320592596,2017,44,required - high density,18,waiver - small num of spaces,3
3425174,320592738,2016,78,required - high density,55,waiver - small num of spaces,50
3398227,320592747,2016,228,required - high density,137,waiver - small num of spaces,132
3329670,320592818,2017,35,required - high density,18,waiver - small num of spaces,13
3395317,320593005,2016,34,required - high density,17,waiver - small num of spaces,12
3107014,320593032,2015,3,required - high density,2,waiver - small num of spaces,0
3425625,320593103,2017,21,required - high density,6,waiver - small num of spaces,0
3421399,320593158,2018,45,required - high density,31,waiver - small num of spaces,26
3425942,320593194,2018,4,required - high density,2,waiver - small num of spaces,0
3063055,320593210,2019,19,required - high density,10,waiver - small num of spaces,5
3404999,320593229,2017,7,required - high density,4,waiver - small num of spaces,0
3413698,320593247,2017,8,required - high density,4,waiver - small num of spaces,0
3413765,320593265,2017,554,required - high density,388,waiver - small num of spaces,383
3426032,320593336,2018,193,required - high density,97,waiver - small num of spaces,82
3425440,320593504,2017,22,required - high density,7,waiver - small num of spaces,0
3116033,320593559,2016,10,required - high density,3,waiver - small num of spaces,0
3421878,320593620,2017,86,required - high density,60,waiver - small num of spaces,55
3425997,320593684,2018,32,required - high density,16,waiver - small num of spaces,11
3068627,320593719,2020,7,required - high density,4,waiver - small num of spaces,0
3251286,320593755,2016,2,required - high density,1,waiver - small num of spaces,0
3425000,320593817,2017,4,required - high density,2,waiver - small num of spaces,0
3428624,320593826,2019,10,required - high density,5,waiver - small num of spaces,0
3039122,320593853,2016,2,required - high density,1,waiver - small num of spaces,0
3414232,320593933,2016,9,required - high density,5,waiver - small num of spaces,0
3421678,320593942,2016,8,required - high density,4,waiver - small num of spaces,0
3413772,320593951,2017,84,required - high density,42,waiver - small num of spaces,27
3413907,320594095,2018,10,required - high density,5,waiver - small num of spaces,0
3413908,320594102,2018,5,required - high density,3,waiver - small num of spaces,0
3427031,320594120,2016,2,required - high density,1,waiver - small num of spaces,0
3426833,320594200,2018,91,required - high density,36,waiver - small num of spaces,21
3425790,320594255,2018,10,required - high density,5,waiver - small num of spaces,0
3414095,320594406,2018,7,required - high density,4,waiver - small num of spaces,0
3073197,320594488,2017,3,required - high density,2,waiver - small num of spaces,0
3413815,320594594,2017,3,required - high density,2,waiver - small num of spaces,0
3413785,320594610,2017,3,required - high density,2,waiver - small num of spaces,0
3413786,320594629,2017,3,required - high density,2,waiver - small num of spaces,0
3425387,320594638,2017,3,required - high density,2,waiver - small num of spaces,0
3425388,320594647,2017,3,required - high density,2,waiver - small num of spaces,0
3422770,320594665,2017,7,required - high density,4,waiver - small num of spaces,0
3426724,320594674,2017,7,required - high density,4,waiver - small num of spaces,0
3425536,320594683,2017,7,required - high density,4,waiver - small num of spaces,0
3326403,320594692,2016,10,required - high density,5,waiver - small num of spaces,0
3422769,320594736,2017,7,required - high density,4,waiver - small num of spaces,0
3413930,320594807,2017,6,required - high density,3,waiver - small num of spaces,0
3424456,320594825,2017,8,required - high density,4,waiver - small num of spaces,0
3424455,320594834,2017,8,required - high density,4,waiver - small num of spaces,0
3426899,320594861,2016,8,required - high density,4,waiver - small num of spaces,0
3424981,320594870,2016,4,required - high density,2,waiver - small num of spaces,0
3425304,320594898,2017,6,required - high density,3,waiver - small num of spaces,0
3078808,320594932,2016,4,required - high density,2,waiver - small num of spaces,0
3424148,320594978,2016,8,required - high density,4,waiver - small num of spaces,0
3421398,320595003,2017,270,required - high density,135,waiver - small num of spaces,120
3395159,320595085,2019,4,required - high density,2,waiver - small num of spaces,0
3427043,320595094,2018,8,required - high density,4,waiver - small num of spaces,0
3413937,320595156,2017,4,required - high density,2,waiver - small num of spaces,0
3120501,320595165,2017,4,required - high density,2,waiver - small num of spaces,0
3413939,320595174,2017,4,required - high density,2,waiver - small num of spaces,0
3413938,320595183,2016,80,required - high density,56,waiver - small num of spaces,51
3418166,320595192,2016,98,required - high density,39,waiver - small num of spaces,24
3413944,320595209,2016,93,required - high density,65,waiver - small num of spaces,60
3413935,320595227,2017,4,required - high density,2,waiver - small num of spaces,0
3413940,320595272,2016,136,required - high density,68,waiver - small num of spaces,53
3413941,320595281,2017,151,required - high density,76,waiver - small num of spaces,61
3855973,320595290,2015,2,required - high density,1,waiver - small num of spaces,0
3425611,320595316,2016,10,required - high density,5,waiver - small num of spaces,0
3425090,320595325,2016,12,required - high density,6,waiver - small num of spaces,1
3413949,320595334,2019,10,required - high density,5,waiver - small num of spaces,0
3075356,320595352,2019,10,required - high density,5,waiver - small num of spaces,0
3027702,320595423,2019,3,required - high density,2,waiver - small num of spaces,0
3422547,320595441,2016,7,required - high density,4,waiver - small num of spaces,0
3424462,320595511,2016,6,required - high density,3,waiver - small num of spaces,0
3426535,320595520,2017,10,required - high density,3,waiver - small num of spaces,0
3067868,320595539,2017,6,required - high density,3,waiver - small num of spaces,0
3425992,320595548,2017,6,required - high density,3,waiver - small num of spaces,0
3413945,320595557,2017,4,required - high density,2,waiver - small num of spaces,0
3418428,320595566,2018,8,required - high density,4,waiver - small num of spaces,0
3073415,320595584,2020,5,required - high density,3,waiver - small num of spaces,0
3427184,320595593,2020,5,required - high density,3,waiver - small num of spaces,0
3425768,320595600,2018,170,required - high density,102,waiver - small num of spaces,97
3399134,320595619,2017,2,required - high density,1,waiver - small num of spaces,0
3418429,320595708,2018,8,required - high density,4,waiver - small num of spaces,0
3403057,320595744,2019,10,required - high density,5,waiver - small num of spaces,0
3426895,320595995,2017,30,required - high density,15,waiver - small num of spaces,10
3424774,320596057,2017,49,required - high density,25,waiver - small num of spaces,20
3416124,320596066,2016,2,required - high density,1,waiver - small num of spaces,0
3421586,320596119,2016,2,required - high density,1,waiver - small num of spaces,0
3418189,320596217,2019,5,required - high density,3,waiver - small num of spaces,0
3418190,320596253,2019,5,required - high density,3,waiver - small num of spaces,0
3425329,320596262,2019,2,required - high density,1,waiver - small num of spaces,0
3421751,320596280,2017,5,required - high density,3,waiver - small num of spaces,0
3070063,320596299,2017,6,required - high density,3,waiver - small num of spaces,0
3425692,320596397,2019,190,required - high density,95,waiver - small num of spaces,80
3418212,320596413,2020,2,required - high density,1,waiver - small num of spaces,0
3425133,320596477,2018,10,required - high density,5,waiver - small num of spaces,0
3050683,320596486,2019,4,required - high density,2,waiver - small num of spaces,0
3418411,320596510,2018,16,required - high density,8,waiver - small num of spaces,3
3031499,320596529,2020,8,required - high density,4,waiver - small num of spaces,0
3427027,320596538,2017,2,required - high density,1,waiver - small num of spaces,0
3397864,320596547,2017,6,required - high density,3,waiver - small num of spaces,0
3426625,320596565,2019,39,required - high density,12,waiver - small num of spaces,0
3421752,320596574,2018,14,required - high density,7,waiver - small num of spaces,2
3424167,320596609,2018,64,required - high density,45,waiver - small num of spaces,40
3426766,320596672,2018,6,required - high density,3,waiver - small num of spaces,0
3425120,320596681,2018,4,required - high density,2,waiver - small num of spaces,0
3425633,320596716,2018,2,required - high density,1,waiver - small num of spaces,0
3426021,320596752,2017,7,required - high density,4,waiver - small num of spaces,0
3424731,320596761,2017,143,required - high density,72,waiver - small num of spaces,57
3426293,320596878,2016,8,required - high density,4,waiver - small num of spaces,0
3426854,320597001,2019,7,required - high density,4,waiver - small num of spaces,0
3424212,320597010,2017,30,required - high density,15,waiver - small num of spaces,10
3418222,320597074,2019,45,required - high density,31,waiver - small num of spaces,26
3426518,320597083,2019,363,required - high density,145,waiver - small num of spaces,130
3328301,320597092,2020,123,required - high density,62,waiver - small num of spaces,47
3425793,320597118,2018,41,required - high density,21,waiver - small num of spaces,16
3426593,320597127,2019,302,required - high density,151,waiver - small num of spaces,136
3427061,320597172,2020,20,required - high density,10,waiver - small num of spaces,5
3418434,320597181,2018,66,required - high density,40,waiver - small num of spaces,35
3422360,320597243,2019,41,required - high density,12,waiver - small num of spaces,0
3423975,320597323,2018,10,required - high density,5,waiver - small num of spaces,0
3425874,320597350,2019,7,required - high density,4,waiver - small num of spaces,0
3424573,320597378,2018,55,required - high density,39,waiver - small num of spaces,34
3063780,320597396,2019,6,required - high density,3,waiver - small num of spaces,0
3418261,320597430,2017,103,required - high density,41,waiver - small num of spaces,26
3418262,320597449,2020,421,required - high density,295,waiver - small num of spaces,290
3425676,320597476,2019,605,required - high density,424,waiver - small num of spaces,419
3424489,320597564,2017,31,required - high density,16,waiver - small num of spaces,11
3425081,320597573,2017,7,required - high density,4,waiver - small num of spaces,0
3426218,320597591,2019,16,required - high density,8,waiver - small num of spaces,3
3425138,320597948,2017,50,required - high density,35,waiver - small num of spaces,30
3425532,320611450,2014,7,required - high density,4,waiver - small num of spaces,0
3425533,320611469,2014,7,required - high density,4,waiver - small num of spaces,0
3426996,320612002,2018,2,required - low density,1,waiver - small num of spaces,0
3412823,320612057,2016,3,required - high density,2,waiver - small num of spaces,0
3413764,320612066,2016,3,required - high density,2,waiver - small num of spaces,0
3426425,320612253,2015,4,required - high density,2,waiver - small num of spaces,0
3325314,320612333,2016,7,required - high density,4,waiver - small num of spaces,0
3425495,320612342,2017,10,required - high density,5,waiver - small num of spaces,0
3047896,320612351,2017,9,required - high density,5,waiver - small num of spaces,0
3425474,320612360,2016,18,required - high density,9,waiver - small num of spaces,4
3426659,320612379,2017,32,required - high density,22,waiver - small num of spaces,17
3414094,320612431,2018,10,required - high density,5,waiver - small num of spaces,0
3425607,320612529,2016,6,required - high density,3,waiver - small num of spaces,0
3063587,320612538,2020,10,required - high density,5,waiver - small num of spaces,0
3425042,320612547,2016,35,required - high density,25,waiver - small num of spaces,20
3426028,320612618,2017,8,required - high density,4,waiver - small num of spaces,0
3414018,320613010,2015,2,required - high density,1,waiver - small num of spaces,0
3421644,320613109,2016,8,required - high density,4,waiver - small num of spaces,0
3413760,320613190,2014,2,required - high density,1,waiver - small num of spaces,0
3421675,320613314,2016,8,required - high density,4,waiver - small num of spaces,0
3413653,320613378,2016,8,required - high density,4,waiver - small num of spaces,0
3063721,320613387,2016,39,required - high density,20,waiver - small num of spaces,15
3413982,320613396,2016,7,required - high density,4,waiver - small num of spaces,0
3413983,320613403,2016,7,required - high density,4,waiver - small num of spaces,0
3413984,320613412,2016,6,required - high density,3,waiver - small num of spaces,0
3397201,320613449,2016,7,required - high density,4,waiver - small num of spaces,0
3424155,320613476,2016,32,required - high density,16,waiver - small num of spaces,11
3425954,320613494,2018,125,required - high density,63,waiver - small num of spaces,58
3413992,320613528,2016,2,required - high density,1,waiver - small num of spaces,0
3427036,320613573,2015,2,required - high density,1,waiver - small num of spaces,0
3398577,320613582,2016,5,required - high density,3,waiver - small num of spaces,0
3425059,320613671,2020,3,required - high density,2,waiver - small num of spaces,0
3399908,320613680,2020,3,required - high density,2,waiver - small num of spaces,0
3425058,320613699,2019,3,required - high density,2,waiver - small num of spaces,0
3426070,320613706,2018,21,required - high density,6,waiver - small num of spaces,0
3421828,320613804,2016,28,required - high density,14,waiver - small num of spaces,9
3426243,320613813,2017,165,required - high density,115,waiver - small num of spaces,110
3413717,320613868,2015,2,required - high density,1,waiver - small num of spaces,0
3413460,320613895,2016,3,required - high density,2,waiver - small num of spaces,0
3245817,320617971,2015,27,required - high density,19,waiver - small num of spaces,14
3398365,320618060,2014,7,required - high density,4,waiver - small num of spaces,0
3423600,320618471,2015,1,required - high density,1,waiver - small num of spaces,0
3418347,320619327,2014,27,required - low density,18,waiver - small num of spaces,17
3044151,320621984,2017,7,required - high density,4,waiver - small num of spaces,0
3426388,320621993,2020,65,required - high density,46,waiver - small num of spaces,41
3421660,320622073,2016,1,required - low density,1,waiver - small/narrow,0
3425896,320622117,2020,2,required - high density,1,waiver - small num of spaces,0
3425895,320622135,2020,3,required - high density,2,waiver - small num of spaces,0
3418202,320622144,2020,2,required - high density,1,waiver - small num of spaces,0
3038501,320622171,2019,7,required - high density,4,waiver - small num of spaces,0
3064428,320622199,2020,7,required - high density,4,waiver - small num of spaces,0
3425720,320622224,2020,40,required - high density,16,waiver - small num of spaces,1
3106776,320622233,2017,4,required - high density,2,waiver - small num of spaces,0
3251532,320622242,2017,8,required - high density,4,waiver - small num of spaces,0
3426959,320622251,2017,8,required - high density,4,waiver - small num of spaces,0
3425139,320622395,2020,7,required - high density,4,waiver - small num of spaces,0
3425728,320622457,2020,7,required - high density,4,waiver - small num of spaces,0
3426720,320622484,2017,24,required - high density,7,waiver - small num of spaces,2
3425534,320622493,2019,6,required - high density,3,waiver - small num of spaces,0
3426456,320622590,2018,6,required - high density,3,waiver - small num of spaces,0
3069158,320622607,2019,14,required - high density,7,waiver - small num of spaces,2
3426283,320622634,2020,2,required - high density,1,waiver - small num of spaces,0
3426267,320622643,2019,5,required - high density,3,waiver - small num of spaces,0
3426266,320622661,2019,5,required - high density,3,waiver - small num of spaces,0
3426268,320622670,2019,5,required - high density,3,waiver - small num of spaces,0
3421390,320622689,2017,7,required - high density,4,waiver - small num of spaces,0
3421391,320622698,2017,7,required - high density,4,waiver - small num of spaces,0
3426269,320622705,2019,5,required - high density,3,waiver - small num of spaces,0
3426198,320622714,2019,576,required - high density,403,waiver - small num of spaces,398
3426398,320622750,2018,500,required - high density,250,waiver - small num of spaces,245
3425089,320622787,2018,186,required - high density,93,waiver - small num of spaces,78
3043746,320622821,2017,8,required - high density,4,waiver - small num of spaces,0
3421625,320622876,2019,6,required - high density,3,waiver - small num of spaces,0
3030986,320622947,2019,10,required - high density,5,waiver - small num of spaces,0
3118894,320622956,2019,28,required - high density,8,waiver - small num of spaces,0
3424198,320623018,2019,16,required - high density,8,waiver - small num of spaces,3
3424990,320623125,2017,6,required - high density,2,waiver - small num of spaces,0
3040019,320623198,2016,2,required - low density,1,waiver - small num of spaces,0
3418421,320623214,2017,303,required - high density,152,waiver - small num of spaces,147
3426380,320623250,2018,51,required - high density,26,waiver - small num of spaces,11
3426004,320623269,2018,7,required - high density,4,waiver - small num of spaces,0
3426003,320623278,2018,7,required - high density,4,waiver - small num of spaces,0
3426326,320623303,2020,28,required - high density,14,waiver - small num of spaces,9
3055380,320623312,2018,116,required - high density,70,waiver - small num of spaces,65
3418326,320623349,2020,68,required - high density,48,waiver - small num of spaces,43
3425143,320623456,2017,7,required - high density,4,waiver - small num of spaces,0
3042264,320623465,2019,32,required - high density,16,waiver - small num of spaces,11
3426259,320623633,2019,38,required - high density,19,waiver - small num of spaces,14
3020573,320623660,2019,4,required - high density,2,waiver - small num of spaces,0
3426324,320623679,2019,2,required - high density,1,waiver - small num of spaces,0
3045210,320623688,2020,8,required - high density,4,waiver - small num of spaces,0
3073414,320623722,2020,7,required - high density,4,waiver - small num of spaces,0
3421468,320623795,2018,8,required - high density,4,waiver - small num of spaces,0
3175408,320623811,2019,30,required - high density,9,waiver - small num of spaces,0
3418380,320623820,2020,6,required - high density,3,waiver - small num of spaces,0
3116667,320623839,2019,16,required - high density,5,waiver - small num of spaces,0
3179392,320623848,2017,11,required - low density,7,waiver - small num of spaces,6
3418323,320623893,2019,8,required - high density,4,waiver - small num of spaces,0
3426548,320623900,2018,5,required - high density,3,waiver - small num of spaces,0
3418432,320623919,2018,18,required - high density,9,waiver - small num of spaces,4
3426212,320623991,2020,4,required - high density,2,waiver - small num of spaces,0
3421743,320624026,2019,7,required - high density,4,waiver - small num of spaces,0
3425155,320624133,2016,2,required - high density,1,waiver - small num of spaces,0
3070022,320624142,2018,8,required - high density,4,waiver - small num of spaces,0
3418370,320624231,2020,4,required - high density,2,waiver - small num of spaces,0
3426308,320624240,2020,3,required - high density,2,waiver - small num of spaces,0
3824703,320624268,2017,2,required - high density,1,waiver - small num of spaces,0
3426309,320624286,2020,3,required - high density,2,waiver - small num of spaces,0
3426310,320624295,2020,3,required - high density,2,waiver - small num of spaces,0
3426311,320624320,2020,2,required - high density,1,waiver - small num of spaces,0
3018937,320624339,2020,1,required - high density,1,waiver - small num of spaces,0
3063970,320624348,2018,25,required - high density,13,waiver - small num of spaces,8
3079223,320624552,2020,8,required - high density,4,waiver - small num of spaces,0
3076566,320624570,2020,8,required - high density,4,waiver - small num of spaces,0
3425129,320624589,2020,10,required - high density,5,waiver - small num of spaces,0
3426295,320624598,2018,19,required - high density,10,waiver - small num of spaces,5
3418382,320624623,2019,86,required - high density,60,waiver - small num of spaces,55
3426894,320624776,2019,10,required - high density,5,waiver - small num of spaces,0
3022827,320624856,2019,6,required - high density,3,waiver - small num of spaces,0
3189070,320624945,2020,16,required - high density,8,waiver - small num of spaces,3
3398251,320624954,2018,8,required - high density,4,waiver - small num of spaces,0
3072744,320624963,2020,32,required - high density,16,waiver - small num of spaces,11
3425072,320625034,2017,4,required - high density,2,waiver - small num of spaces,0
3425073,320625089,2017,4,required - high density,2,waiver - small num of spaces,0
3006581,320625123,2018,4,required - high density,2,waiver - small num of spaces,0
3027918,320625178,2020,7,required - high density,4,waiver - small num of spaces,0
3418424,320625196,2017,10,required - high density,5,waiver - small num of spaces,0
3425581,320625203,2018,8,required - high density,4,waiver - small num of spaces,0
3426355,320625329,2019,4,required - high density,2,waiver - small num of spaces,0
3426348,320625524,2016,9,required - high density,5,waiver - small num of spaces,0
3024319,320625533,2017,1,required - low density,1,waiver - small num of spaces,0
3425700,320625542,2019,63,required - high density,32,waiver - small num of spaces,27
3425775,320625613,2020,10,required - high density,5,waiver - small num of spaces,0
3425431,320625622,2020,5,required - high density,3,waiver - small num of spaces,0
3426655,320625631,2018,8,required - high density,4,waiver - small num of spaces,0
3063978,320625668,2018,20,required - high density,10,waiver - small num of spaces,5
3425448,320625677,2018,5,required - high density,3,waiver - small num of spaces,0
3020574,320625686,2019,4,required - high density,2,waiver - small num of spaces,0
3067602,320625695,2019,6,required - high density,3,waiver - small num of spaces,0
3322359,320625702,2019,7,required - high density,2,waiver - small num of spaces,0
3419235,320625953,2018,8,required - high density,4,waiver - small num of spaces,0
3418306,320626006,2019,44,required - high density,31,waiver - small num of spaces,26
3426250,320626079,2017,4,required - high density,2,waiver - small num of spaces,0
3418264,320626097,2016,35,required - high density,18,waiver - small num of spaces,13
3414220,320626266,2017,1,required - high density,1,waiver - small num of spaces,0
3414358,320626275,2017,1,required - high density,1,waiver - small num of spaces,0
3414223,320626284,2017,1,required - high density,1,waiver - small num of spaces,0
3414222,320626293,2017,1,required - high density,1,waiver - small num of spaces,0
3414221,320626300,2017,1,required - high density,1,waiver - small num of spaces,0
3426391,320626364,2018,3,required - high density,2,waiver - small num of spaces,0
3425408,320626391,2019,24,required - high density,7,waiver - small num of spaces,0
3414453,320626444,2019,8,required - high density,4,waiver - small num of spaces,0
3418357,320626453,2019,8,required - high density,4,waiver - small num of spaces,0
3418329,320626480,2017,35,required - high density,18,waiver - small num of spaces,13
3425134,320626505,2018,8,required - high density,4,waiver - small num of spaces,0
